"iteration","x","y","accepted","u","alpha"
1,1,-1,FALSE,0.641745518893003,5.52061384220155e-05
2,1,-1,FALSE,0.705064784036949,0.0698596697669291
3,1,-1,FALSE,0.462292822543532,0.0157480841546219
4,1,-1,FALSE,0.560332746244967,3.0190533744508e-05
5,1,-1,FALSE,0.0824375580996275,1.0757369320833e-16
6,1,-1,FALSE,0.836004259996116,0.0147876859528938
7,1.95392559710511,-1.42637938212411,TRUE,0.00394833879545331,0.0452238693772582
8,1.95392559710511,-1.42637938212411,FALSE,0.611778643447906,0.000319023101738899
9,1.95392559710511,-1.42637938212411,FALSE,0.431751248892397,0.00730954029555847
10,1.95392559710511,-1.42637938212411,FALSE,0.618838207330555,1.11273384972865e-13
11,1.30822189969581,-1.8122834562775,TRUE,0.038936491124332,1
12,1.30822189969581,-1.8122834562775,FALSE,0.514412934659049,0.0144071409304829
13,1.30822189969581,-1.8122834562775,FALSE,0.849689718568698,0.0293415808045486
14,-0.0115328931008447,-0.391913693862619,TRUE,0.240544739644974,1
15,-0.0115328931008447,-0.391913693862619,FALSE,0.197410342283547,4.6141162198908e-11
16,0.859860561142562,-0.867934975130696,TRUE,0.00157055421732366,0.561848395366735
17,0.859860561142562,-0.867934975130696,FALSE,0.775823362637311,0.504229810057868
18,0.859860561142562,-0.867934975130696,FALSE,0.305218369467184,0.0263566714240373
19,0.859860561142562,-0.867934975130696,FALSE,0.925644748611376,0.154181686081581
20,0.859860561142562,-0.867934975130696,FALSE,0.619159240042791,0.0312586902669384
21,0.859860561142562,-0.867934975130696,FALSE,0.942455691983923,0.211216451540791
22,0.859860561142562,-0.867934975130696,FALSE,0.00227296608500183,1.89482100081008e-11
23,0.859860561142562,-0.867934975130696,FALSE,0.535789993824437,0.0540428364512021
24,0.859860561142562,-0.867934975130696,FALSE,0.828942130552605,0.6438889582763
25,0.309008597031099,-0.590089127832282,TRUE,0.719657292356715,1
26,0.309008597031099,-0.590089127832282,FALSE,0.724497599992901,0.0223903234111668
27,0.309008597031099,-0.590089127832282,FALSE,0.850482750684023,6.2331109550584e-05
28,0.309008597031099,-0.590089127832282,FALSE,0.623613457195461,0.0333397120274181
29,0.309008597031099,-0.590089127832282,FALSE,0.73352795955725,0.00485994718687948
30,0.309008597031099,-0.590089127832282,FALSE,0.149072052445263,4.37961011853405e-07
31,0.309008597031099,-0.590089127832282,FALSE,0.67859286791645,0.0141783766886876
32,0.309008597031099,-0.590089127832282,FALSE,0.680164178134874,0.00285376551298574
33,0.309008597031099,-0.590089127832282,FALSE,0.535236610565335,5.49364849551145e-06
34,0.309008597031099,-0.590089127832282,FALSE,0.186102156760171,0.00138389409740729
35,0.309008597031099,-0.590089127832282,FALSE,0.427494465606287,0.239813274191938
36,0.309008597031099,-0.590089127832282,FALSE,0.769032425712794,0.0167414352030544
37,0.309008597031099,-0.590089127832282,FALSE,0.74226645193994,0.00115197338563353
38,0.309008597031099,-0.590089127832282,FALSE,0.287749752169475,0.00490018909830771
39,0.309008597031099,-0.590089127832282,FALSE,0.0722531112842262,1.03111579397284e-05
40,0.309008597031099,-0.590089127832282,FALSE,0.731315477285534,1.74164376207705e-11
41,0.309008597031099,-0.590089127832282,FALSE,0.157880100421607,1.00336124790869e-06
42,0.0913916030963826,-0.648052065707489,TRUE,0.259689980186522,0.86612094751303
43,0.0913916030963826,-0.648052065707489,FALSE,0.451310850214213,0.445452494369411
